Év, Esemény, Eredmény
1764, A Spinning Jenny feltalálása, Megnövekedett textilgyártás
1769,A vízkeret feltalálása,vízzel működő centrifugálás
1785,A Power Loom feltalálása,A gépesített szövés bevezetése
1765, James Watt gőzgépe, Forradalmasítja az ipart és a közlekedést
1782, A Cotton Gin feltalálása, Fokozott hatékonyság a pamutfeldolgozásban
1804,Gőzmozdony,Első épített gőzmozdony
1824,Vasutak fejlesztése,Vasúti hálózatok bővítése
1830, Megnyílik a Liverpool és a Manchester Railway, az első modern vasútvonal
1856, Bessemer eljárás acélgyártáshoz,Acél tömeggyártása
1870, A Standard Oil Company alapítása, Haladás az olajfinomítás és -elosztás területén
1876, Alexander Graham Bell feltalálja a telefont, áttörés a kommunikációban
1885,Az autó feltalálása,Az első benzinüzemű autó bemutatása
1908, Henry Ford szerelősor gyártása, Autók tömeggyártása
1927, első kereskedelmi televíziós adás, a televíziós korszak kezdete
